[ 2017-04-17T09:36:29+08:00 ] /web/qudao/index.php/Login/verify | NOTIC: [8] A session had already been started - ignoring session_start() functions.php 第 411 行.
[ 2017-04-17T09:36:29+08:00 ] /web/qudao/index.php/Login/verify | NOTIC: [8] ob_end_clean() [<a href='ref.outcontrol'>ref.outcontrol</a>]: failed to delete buffer. No buffer to delete. LoginAction.class.php 第 47 行.
[ 2017-04-17T09:36:29+08:00 ] /web/qudao/index.php/Login/verify | NOTIC: [2] Cannot modify header information - headers already sent by (output started at F:\nginx-1.8.1\html\web\qudao\Common\common.php:1) Image.class.php 第 508 行.
[ 2017-04-17T09:36:31+08:00 ] /web/qudao/index.php/Login | INFO: Tag[ route_check ] --START--
[ 2017-04-17T09:36:31+08:00 ] /web/qudao/index.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.000786s ]
[ 2017-04-17T09:36:31+08:00 ] /web/qudao/index.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000889s ]
[ 2017-04-17T09:36:31+08:00 ] /web/qudao/index.php/Login | INFO: Tag[ app_begin ] --START--
[ 2017-04-17T09:36:31+08:00 ] /web/qudao/index.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000570s ]
[ 2017-04-17T09:36:31+08:00 ] /web/qudao/index.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000630s ]
[ 2017-04-17T09:36:31+08:00 ] /web/qudao/index.php/Login | NOTIC: [8] A session had already been started - ignoring session_start() functions.php 第 411 行.
[ 2017-04-17T09:36:31+08:00 ] /web/qudao/index.php/Login | INFO: Tag[ view_template ] --START--
[ 2017-04-17T09:36:31+08:00 ] /web/qudao/index.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.000639s ]
[ 2017-04-17T09:36:31+08:00 ] /web/qudao/index.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.000707s ]
[ 2017-04-17T09:36:31+08:00 ] /web/qudao/index.php/Login | INFO: Tag[ view_parse ] --START--
[ 2017-04-17T09:36:31+08:00 ] /web/qudao/index.php/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.008637s ]
[ 2017-04-17T09:36:31+08:00 ] /web/qudao/index.php/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008698s ]
[ 2017-04-17T09:36:31+08:00 ] /web/qudao/index.php/Login | INFO: Tag[ view_filter ] --START--
[ 2017-04-17T09:36:31+08:00 ] /web/qudao/index.php/Login | INFO: Run ContentReplace Behavior [ RunTime:0.001190s ]
[ 2017-04-17T09:36:31+08:00 ] /web/qudao/index.php/Login | INFO: Run TokenBuild Behavior [ RunTime:0.001008s ]
[ 2017-04-17T09:36:31+08:00 ] /web/qudao/index.php/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000876s ]
[ 2017-04-17T09:36:31+08:00 ] /web/qudao/index.php/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.001275s ]
[ 2017-04-17T09:36:31+08:00 ] /web/qudao/index.php/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004530s ]
[ 2017-04-17T09:36:31+08:00 ] /web/qudao/index.php/Login | NOTIC: [2] Cannot modify header information - headers already sent by (output started at F:\nginx-1.8.1\html\web\qudao\Common\common.php:1) View.class.php 第 120 行.
[ 2017-04-17T09:36:31+08:00 ] /web/qudao/index.php/Login | NOTIC: [2] Cannot modify header information - headers already sent by (output started at F:\nginx-1.8.1\html\web\qudao\Common\common.php:1) View.class.php 第 121 行.
[ 2017-04-17T09:36:31+08:00 ] /web/qudao/index.php/Login | NOTIC: [2] Cannot modify header information - headers already sent by (output started at F:\nginx-1.8.1\html\web\qudao\Common\common.php:1) View.class.php 第 122 行.
[ 2017-04-17T09:36:31+08:00 ] /web/qudao/index.php/Login | INFO: Tag[ view_end ] --START--
[ 2017-04-17T09:36:31+08:00 ] /web/qudao/index.php/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001535s ]
[ 2017-04-17T09:36:31+08:00 ] /web/qudao/index.php/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001590s ]
[ 2017-04-17T09:36:31+08:00 ] /web/qudao/index.php/Login/verify | INFO: Tag[ route_check ] --START--
[ 2017-04-17T09:36:31+08:00 ] /web/qudao/index.php/Login/verify | INFO: Run CheckRoute Behavior [ RunTime:0.000577s ]
[ 2017-04-17T09:36:31+08:00 ] /web/qudao/index.php/Login/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.000639s ]
[ 2017-04-17T09:36:31+08:00 ] /web/qudao/index.php/Login/verify | INFO: Tag[ app_begin ] --START--
[ 2017-04-17T09:36:31+08:00 ] /web/qudao/index.php/Login/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000368s ]
[ 2017-04-17T09:36:31+08:00 ] /web/qudao/index.php/Login/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000404s ]
[ 2017-04-17T09:36:31+08:00 ] /web/qudao/index.php/Login/verify | NOTIC: [8] A session had already been started - ignoring session_start() functions.php 第 411 行.
[ 2017-04-17T09:36:31+08:00 ] /web/qudao/index.php/Login/verify | NOTIC: [8] ob_end_clean() [<a href='ref.outcontrol'>ref.outcontrol</a>]: failed to delete buffer. No buffer to delete. LoginAction.class.php 第 47 行.
[ 2017-04-17T09:36:31+08:00 ] /web/qudao/index.php/Login/verify | NOTIC: [2] Cannot modify header information - headers already sent by (output started at F:\nginx-1.8.1\html\web\qudao\Common\common.php:1) Image.class.php 第 508 行.
