[ 2016-11-22T16:59:48+08:00 ] /qudao/index.php/User/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007515s ]
[ 2016-11-22T16:59:48+08:00 ] /qudao/index.php/User/index | INFO: Tag[ view_end ] --START--
[ 2016-11-22T16:59:48+08:00 ] /qudao/index.php/User/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.002003s ]
[ 2016-11-22T16:59:48+08:00 ] /qudao/index.php/User/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.002108s ]
[ 2016-11-22T17:03:59+08:00 ] /qudao/index.php/Login/userCheck | INFO: Tag[ route_check ] --START--
[ 2016-11-22T17:03:59+08:00 ] /qudao/index.php/Login/userCheck | INFO: Run CheckRoute Behavior [ RunTime:0.002330s ]
[ 2016-11-22T17:03:59+08:00 ] /qudao/index.php/Login/userCheck | INFO: Tag[ route_check ] --END-- [ RunTime:0.002492s ]
[ 2016-11-22T17:03:59+08:00 ] /qudao/index.php/Login/userCheck | INFO: Tag[ app_begin ] --START--
[ 2016-11-22T17:03:59+08:00 ] /qudao/index.php/Login/userCheck | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001653s ]
[ 2016-11-22T17:03:59+08:00 ] /qudao/index.php/Login/userCheck | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001761s ]
[ 2016-11-22T17:03:59+08:00 ] /qudao/index.php/Login/userCheck | NOTIC: [8] A session had already been started - ignoring session_start() LoginAction.class.php 第 10 行.
[ 2016-11-22T17:04:00+08:00 ] /qudao/index.php/Login | INFO: Tag[ route_check ] --START--
[ 2016-11-22T17:04:00+08:00 ] /qudao/index.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.001783s ]
[ 2016-11-22T17:04:00+08:00 ] /qudao/index.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001944s ]
[ 2016-11-22T17:04:00+08:00 ] /qudao/index.php/Login | INFO: Tag[ app_begin ] --START--
[ 2016-11-22T17:04:00+08:00 ] /qudao/index.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001098s ]
[ 2016-11-22T17:04:00+08:00 ] /qudao/index.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001205s ]
[ 2016-11-22T17:04:00+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_template ] --START--
[ 2016-11-22T17:04:00+08:00 ] /qudao/index.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.001952s ]
[ 2016-11-22T17:04:00+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.002070s ]
[ 2016-11-22T17:04:00+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_parse ] --START--
[ 2016-11-22T17:04:00+08:00 ] /qudao/index.php/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.018675s ]
[ 2016-11-22T17:04:00+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.018791s ]
[ 2016-11-22T17:04:00+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_filter ] --START--
[ 2016-11-22T17:04:00+08:00 ] /qudao/index.php/Login | INFO: Run ContentReplace Behavior [ RunTime:0.001718s ]
[ 2016-11-22T17:04:00+08:00 ] /qudao/index.php/Login | INFO: Run TokenBuild Behavior [ RunTime:0.001833s ]
[ 2016-11-22T17:04:00+08:00 ] /qudao/index.php/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001516s ]
[ 2016-11-22T17:04:00+08:00 ] /qudao/index.php/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.001961s ]
[ 2016-11-22T17:04:00+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007325s ]
[ 2016-11-22T17:04:00+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_end ] --START--
[ 2016-11-22T17:04:00+08:00 ] /qudao/index.php/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.002028s ]
[ 2016-11-22T17:04:00+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.002144s ]
[ 2016-11-22T17:04:00+08:00 ] /qudao/index.php/Login/verify | INFO: Tag[ route_check ] --START--
[ 2016-11-22T17:04:00+08:00 ] /qudao/index.php/Login/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001778s ]
[ 2016-11-22T17:04:00+08:00 ] /qudao/index.php/Login/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001945s ]
[ 2016-11-22T17:04:00+08:00 ] /qudao/index.php/Login/verify | INFO: Tag[ app_begin ] --START--
[ 2016-11-22T17:04:00+08:00 ] /qudao/index.php/Login/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001092s ]
[ 2016-11-22T17:04:00+08:00 ] /qudao/index.php/Login/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001199s ]
[ 2016-11-22T17:04:22+08:00 ] /qudao/index.php/Login/userCheck | INFO: Tag[ route_check ] --START--
[ 2016-11-22T17:04:22+08:00 ] /qudao/index.php/Login/userCheck | INFO: Run CheckRoute Behavior [ RunTime:0.002831s ]
[ 2016-11-22T17:04:22+08:00 ] /qudao/index.php/Login/userCheck | INFO: Tag[ route_check ] --END-- [ RunTime:0.002995s ]
[ 2016-11-22T17:04:22+08:00 ] /qudao/index.php/Login/userCheck | INFO: Tag[ app_begin ] --START--
[ 2016-11-22T17:04:22+08:00 ] /qudao/index.php/Login/userCheck | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002166s ]
[ 2016-11-22T17:04:22+08:00 ] /qudao/index.php/Login/userCheck | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002273s ]
[ 2016-11-22T17:04:22+08:00 ] /qudao/index.php/Login/userCheck | NOTIC: [8] A session had already been started - ignoring session_start() LoginAction.class.php 第 10 行.
[ 2016-11-22T17:04:32+08:00 ] /qudao/index.php/Login | INFO: Tag[ route_check ] --START--
[ 2016-11-22T17:04:32+08:00 ] /qudao/index.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.002821s ]
[ 2016-11-22T17:04:32+08:00 ] /qudao/index.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.002987s ]
[ 2016-11-22T17:04:32+08:00 ] /qudao/index.php/Login | INFO: Tag[ app_begin ] --START--
[ 2016-11-22T17:04:32+08:00 ] /qudao/index.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002158s ]
[ 2016-11-22T17:04:32+08:00 ] /qudao/index.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002266s ]
[ 2016-11-22T17:04:32+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_template ] --START--
[ 2016-11-22T17:04:32+08:00 ] /qudao/index.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.002451s ]
[ 2016-11-22T17:04:32+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.002568s ]
