[ 2016-11-23T13:54:58+08:00 ] /qudao/index.php/User | INFO: Tag[ view_template ] --END-- [ RunTime:0.002174s ]
[ 2016-11-23T13:54:58+08:00 ] /qudao/index.php/User | INFO: Tag[ view_parse ] --START--
[ 2016-11-23T13:54:58+08:00 ] /qudao/index.php/User | INFO: Run ParseTemplate Behavior [ RunTime:0.018987s ]
[ 2016-11-23T13:54:58+08:00 ] /qudao/index.php/User | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019103s ]
[ 2016-11-23T13:54:58+08:00 ] /qudao/index.php/User | INFO: Tag[ view_filter ] --START--
[ 2016-11-23T13:54:58+08:00 ] /qudao/index.php/User | INFO: Run ContentReplace Behavior [ RunTime:0.001301s ]
[ 2016-11-23T13:54:58+08:00 ] /qudao/index.php/User | INFO: Run TokenBuild Behavior [ RunTime:0.001903s ]
[ 2016-11-23T13:54:58+08:00 ] /qudao/index.php/User | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001545s ]
[ 2016-11-23T13:54:58+08:00 ] /qudao/index.php/User | INFO: Run ShowRuntime Behavior [ RunTime:0.001991s ]
[ 2016-11-23T13:54:58+08:00 ] /qudao/index.php/User | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007042s ]
[ 2016-11-23T13:54:58+08:00 ] /qudao/index.php/User | INFO: Tag[ view_end ] --START--
[ 2016-11-23T13:54:58+08:00 ] /qudao/index.php/User | INFO: Run ShowPageTrace Behavior [ RunTime:0.002004s ]
[ 2016-11-23T13:54:58+08:00 ] /qudao/index.php/User | INFO: Tag[ view_end ] --END-- [ RunTime:0.002110s ]
[ 2016-11-23T13:56:20+08:00 ] /index.php/Login | INFO: Tag[ route_check ] --START--
[ 2016-11-23T13:56:20+08:00 ] /index.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.002847s ]
[ 2016-11-23T13:56:20+08:00 ] /index.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.003019s ]
[ 2016-11-23T13:56:20+08:00 ] /index.php/Login | INFO: Tag[ app_begin ] --START--
[ 2016-11-23T13:56:20+08:00 ] /index.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002182s ]
[ 2016-11-23T13:56:20+08:00 ] /index.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002290s ]
[ 2016-11-23T13:56:20+08:00 ] /index.php/Login | INFO: Tag[ view_template ] --START--
[ 2016-11-23T13:56:20+08:00 ] /index.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.002720s ]
[ 2016-11-23T13:56:20+08:00 ] /index.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.002852s ]
[ 2016-11-23T13:56:20+08:00 ] /index.php/Login | INFO: Tag[ view_parse ] --START--
[ 2016-11-23T13:56:20+08:00 ] /index.php/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.019924s ]
[ 2016-11-23T13:56:20+08:00 ] /index.php/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.020042s ]
[ 2016-11-23T13:56:20+08:00 ] /index.php/Login | INFO: Tag[ view_filter ] --START--
[ 2016-11-23T13:56:20+08:00 ] /index.php/Login | INFO: Run ContentReplace Behavior [ RunTime:0.001741s ]
[ 2016-11-23T13:56:20+08:00 ] /index.php/Login | INFO: Run TokenBuild Behavior [ RunTime:0.001874s ]
[ 2016-11-23T13:56:20+08:00 ] /index.php/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001554s ]
[ 2016-11-23T13:56:20+08:00 ] /index.php/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.002073s ]
[ 2016-11-23T13:56:20+08:00 ] /index.php/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007540s ]
[ 2016-11-23T13:56:20+08:00 ] /index.php/Login | INFO: Tag[ view_end ] --START--
[ 2016-11-23T13:56:20+08:00 ] /index.php/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.002066s ]
[ 2016-11-23T13:56:20+08:00 ] /index.php/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.002174s ]
[ 2016-11-23T14:32:06+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2016-11-23T14:32:06+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001675s ]
