[ 2017-01-04T10:40:09+08:00 ] /index.php/Login/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001856s ]
[ 2017-01-04T10:40:09+08:00 ] /index.php/Login/verify | INFO: Tag[ app_begin ] --START--
[ 2017-01-04T10:40:09+08:00 ] /index.php/Login/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001073s ]
[ 2017-01-04T10:40:09+08:00 ] /index.php/Login/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001176s ]
[ 2017-01-04T10:40:13+08:00 ] /index.php/Login/userCheck | INFO: Tag[ route_check ] --START--
[ 2017-01-04T10:40:13+08:00 ] /index.php/Login/userCheck | INFO: Run CheckRoute Behavior [ RunTime:0.001747s ]
[ 2017-01-04T10:40:13+08:00 ] /index.php/Login/userCheck | INFO: Tag[ route_check ] --END-- [ RunTime:0.001872s ]
[ 2017-01-04T10:40:13+08:00 ] /index.php/Login/userCheck | INFO: Tag[ app_begin ] --START--
[ 2017-01-04T10:40:13+08:00 ] /index.php/Login/userCheck | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001080s ]
[ 2017-01-04T10:40:13+08:00 ] /index.php/Login/userCheck | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001186s ]
[ 2017-01-04T10:40:13+08:00 ] /index.php/Login/userCheck | NOTIC: [8] A session had already been started - ignoring session_start() LoginAction.class.php 第 10 行.
[ 2017-01-04T10:40:15+08:00 ] /index.php/Login | INFO: Tag[ route_check ] --START--
[ 2017-01-04T10:40:15+08:00 ] /index.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.001746s ]
[ 2017-01-04T10:40:15+08:00 ] /index.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001870s ]
[ 2017-01-04T10:40:15+08:00 ] /index.php/Login | INFO: Tag[ app_begin ] --START--
[ 2017-01-04T10:40:15+08:00 ] /index.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001081s ]
[ 2017-01-04T10:40:15+08:00 ] /index.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001184s ]
[ 2017-01-04T10:40:15+08:00 ] /index.php/Login | INFO: Tag[ view_template ] --START--
[ 2017-01-04T10:40:15+08:00 ] /index.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.000927s ]
[ 2017-01-04T10:40:15+08:00 ] /index.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.001041s ]
[ 2017-01-04T10:40:15+08:00 ] /index.php/Login | INFO: Tag[ view_parse ] --START--
[ 2017-01-04T10:40:15+08:00 ] /index.php/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.017698s ]
[ 2017-01-04T10:40:15+08:00 ] /index.php/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017809s ]
[ 2017-01-04T10:40:15+08:00 ] /index.php/Login | INFO: Tag[ view_filter ] --START--
[ 2017-01-04T10:40:15+08:00 ] /index.php/Login | INFO: Run ContentReplace Behavior [ RunTime:0.001726s ]
[ 2017-01-04T10:40:15+08:00 ] /index.php/Login | INFO: Run TokenBuild Behavior [ RunTime:0.002013s ]
[ 2017-01-04T10:40:15+08:00 ] /index.php/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001538s ]
[ 2017-01-04T10:40:15+08:00 ] /index.php/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.001985s ]
[ 2017-01-04T10:40:15+08:00 ] /index.php/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007548s ]
[ 2017-01-04T10:40:15+08:00 ] /index.php/Login | INFO: Tag[ view_end ] --START--
[ 2017-01-04T10:40:15+08:00 ] /index.php/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.002014s ]
[ 2017-01-04T10:40:15+08:00 ] /index.php/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.002116s ]
[ 2017-01-04T10:40:15+08:00 ] /index.php/Login/verify | INFO: Tag[ route_check ] --START--
[ 2017-01-04T10:40:15+08:00 ] /index.php/Login/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001728s ]
[ 2017-01-04T10:40:15+08:00 ] /index.php/Login/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001851s ]
[ 2017-01-04T10:40:15+08:00 ] /index.php/Login/verify | INFO: Tag[ app_begin ] --START--
[ 2017-01-04T10:40:15+08:00 ] /index.php/Login/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001070s ]
[ 2017-01-04T10:40:15+08:00 ] /index.php/Login/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001175s ]
