[ 2017-04-10T13:27:13+08:00 ] /web/index.php/User | NOTIC: [2] session_start() [<a href='function.session-start'>function.session-start</a>]: Cannot send session cache limiter - headers already sent (output started at F:\nginx-1.8.1\html\web\Common\common.php:1) functions.php 第 411 行.
[ 2017-04-10T13:27:13+08:00 ] /web/index.php/User | NOTIC: [8] A session had already been started - ignoring session_start() UserAction.class.php 第 6 行.
[ 2017-04-10T13:27:13+08:00 ] /web/index.php/User | NOTIC: [8] Undefined index:  zs78_admin2 UserAction.class.php 第 8 行.
[ 2017-04-10T13:27:13+08:00 ] /web/index.php/User | INFO: Tag[ route_check ] --START--
[ 2017-04-10T13:27:13+08:00 ] /web/index.php/User | INFO: Run CheckRoute Behavior [ RunTime:0.000634s ]
[ 2017-04-10T13:27:13+08:00 ] /web/index.php/User | INFO: Tag[ route_check ] --END-- [ RunTime:0.000702s ]
[ 2017-04-10T13:27:13+08:00 ] /web/index.php/User | INFO: Tag[ app_begin ] --START--
[ 2017-04-10T13:27:13+08:00 ] /web/index.php/User | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000426s ]
[ 2017-04-10T13:27:13+08:00 ] /web/index.php/User | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000475s ]
[ 2017-04-10T13:27:13+08:00 ] /web/index.php/User | NOTIC: [2] session_start() [<a href='function.session-start'>function.session-start</a>]: Cannot send session cookie - headers already sent by (output started at F:\nginx-1.8.1\html\web\Common\common.php:1) functions.php 第 411 行.
[ 2017-04-10T13:27:13+08:00 ] /web/index.php/User | NOTIC: [2] session_start() [<a href='function.session-start'>function.session-start</a>]: Cannot send session cache limiter - headers already sent (output started at F:\nginx-1.8.1\html\web\Common\common.php:1) functions.php 第 411 行.
[ 2017-04-10T13:27:13+08:00 ] /web/index.php/User | NOTIC: [8] A session had already been started - ignoring session_start() UserAction.class.php 第 6 行.
[ 2017-04-10T13:27:13+08:00 ] /web/index.php/User | NOTIC: [8] Undefined index:  zs78_admin2 UserAction.class.php 第 8 行.
[ 2017-04-10T13:27:13+08:00 ] /web/index.php/User | INFO: Tag[ route_check ] --START--
[ 2017-04-10T13:27:13+08:00 ] /web/index.php/User | INFO: Run CheckRoute Behavior [ RunTime:0.000621s ]
[ 2017-04-10T13:27:13+08:00 ] /web/index.php/User | INFO: Tag[ route_check ] --END-- [ RunTime:0.000692s ]
[ 2017-04-10T13:27:13+08:00 ] /web/index.php/User | INFO: Tag[ app_begin ] --START--
[ 2017-04-10T13:27:13+08:00 ] /web/index.php/User | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000401s ]
[ 2017-04-10T13:27:13+08:00 ] /web/index.php/User | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000445s ]
[ 2017-04-10T13:27:13+08:00 ] /web/index.php/User | NOTIC: [2] session_start() [<a href='function.session-start'>function.session-start</a>]: Cannot send session cookie - headers already sent by (output started at F:\nginx-1.8.1\html\web\Common\common.php:1) functions.php 第 411 行.
[ 2017-04-10T13:27:13+08:00 ] /web/index.php/User | NOTIC: [2] session_start() [<a href='function.session-start'>function.session-start</a>]: Cannot send session cache limiter - headers already sent (output started at F:\nginx-1.8.1\html\web\Common\common.php:1) functions.php 第 411 行.
[ 2017-04-10T13:27:13+08:00 ] /web/index.php/User | NOTIC: [8] A session had already been started - ignoring session_start() UserAction.class.php 第 6 行.
[ 2017-04-10T13:27:13+08:00 ] /web/index.php/User | NOTIC: [8] Undefined index:  zs78_admin2 UserAction.class.php 第 8 行.
[ 2017-04-10T13:27:13+08:00 ] /web/index.php/User | INFO: Tag[ route_check ] --START--
[ 2017-04-10T13:27:13+08:00 ] /web/index.php/User | INFO: Run CheckRoute Behavior [ RunTime:0.000604s ]
[ 2017-04-10T13:27:13+08:00 ] /web/index.php/User | INFO: Tag[ route_check ] --END-- [ RunTime:0.000667s ]
[ 2017-04-10T13:27:13+08:00 ] /web/index.php/User | INFO: Tag[ app_begin ] --START--
[ 2017-04-10T13:27:13+08:00 ] /web/index.php/User | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000408s ]
[ 2017-04-10T13:27:13+08:00 ] /web/index.php/User | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000445s ]
[ 2017-04-10T13:27:13+08:00 ] /web/index.php/User | NOTIC: [2] session_start() [<a href='function.session-start'>function.session-start</a>]: Cannot send session cookie - headers already sent by (output started at F:\nginx-1.8.1\html\web\Common\common.php:1) functions.php 第 411 行.
[ 2017-04-10T13:27:13+08:00 ] /web/index.php/User | NOTIC: [2] session_start() [<a href='function.session-start'>function.session-start</a>]: Cannot send session cache limiter - headers already sent (output started at F:\nginx-1.8.1\html\web\Common\common.php:1) functions.php 第 411 行.
[ 2017-04-10T13:27:13+08:00 ] /web/index.php/User | NOTIC: [8] A session had already been started - ignoring session_start() UserAction.class.php 第 6 行.
[ 2017-04-10T13:27:13+08:00 ] /web/index.php/User | NOTIC: [8] Undefined index:  zs78_admin2 UserAction.class.php 第 8 行.
[ 2017-04-10T13:27:14+08:00 ] /web/index.php/User | INFO: Tag[ route_check ] --START--
[ 2017-04-10T13:27:14+08:00 ] /web/index.php/User | INFO: Run CheckRoute Behavior [ RunTime:0.001274s ]
[ 2017-04-10T13:27:14+08:00 ] /web/index.php/User | INFO: Tag[ route_check ] --END-- [ RunTime:0.001394s ]
[ 2017-04-10T13:27:14+08:00 ] /web/index.php/User | INFO: Tag[ app_begin ] --START--
[ 2017-04-10T13:27:14+08:00 ] /web/index.php/User | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000825s ]
[ 2017-04-10T13:27:14+08:00 ] /web/index.php/User | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000899s ]
[ 2017-04-10T13:27:14+08:00 ] /web/index.php/User | NOTIC: [2] session_start() [<a href='function.session-start'>function.session-start</a>]: Cannot send session cookie - headers already sent by (output started at F:\nginx-1.8.1\html\web\Common\common.php:1) functions.php 第 411 行.
[ 2017-04-10T13:27:14+08:00 ] /web/index.php/User | NOTIC: [2] session_start() [<a href='function.session-start'>function.session-start</a>]: Cannot send session cache limiter - headers already sent (output started at F:\nginx-1.8.1\html\web\Common\common.php:1) functions.php 第 411 行.
[ 2017-04-10T13:27:14+08:00 ] /web/index.php/User | NOTIC: [8] A session had already been started - ignoring session_start() UserAction.class.php 第 6 行.
[ 2017-04-10T13:27:14+08:00 ] /web/index.php/User | NOTIC: [8] Undefined index:  zs78_admin2 UserAction.class.php 第 8 行.
[ 2017-04-10T13:27:14+08:00 ] /web/index.php/User | INFO: Tag[ route_check ] --START--
[ 2017-04-10T13:27:14+08:00 ] /web/index.php/User | INFO: Run CheckRoute Behavior [ RunTime:0.001011s ]
[ 2017-04-10T13:27:14+08:00 ] /web/index.php/User | INFO: Tag[ route_check ] --END-- [ RunTime:0.001203s ]
[ 2017-04-10T13:27:14+08:00 ] /web/index.php/User | INFO: Tag[ app_begin ] --START--
[ 2017-04-10T13:27:14+08:00 ] /web/index.php/User | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000429s ]
[ 2017-04-10T13:27:14+08:00 ] /web/index.php/User | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000470s ]
[ 2017-04-10T13:27:14+08:00 ] /web/index.php/User | NOTIC: [2] session_start() [<a href='function.session-start'>function.session-start</a>]: Cannot send session cookie - headers already sent by (output started at F:\nginx-1.8.1\html\web\Common\common.php:1) functions.php 第 411 行.
[ 2017-04-10T13:27:14+08:00 ] /web/index.php/User | NOTIC: [2] session_start() [<a href='function.session-start'>function.session-start</a>]: Cannot send session cache limiter - headers already sent (output started at F:\nginx-1.8.1\html\web\Common\common.php:1) functions.php 第 411 行.
[ 2017-04-10T13:27:14+08:00 ] /web/index.php/User | NOTIC: [8] A session had already been started - ignoring session_start() UserAction.class.php 第 6 行.
[ 2017-04-10T13:27:14+08:00 ] /web/index.php/User | NOTIC: [8] Undefined index:  zs78_admin2 UserAction.class.php 第 8 行.
[ 2017-04-10T13:27:14+08:00 ] /web/index.php/User | INFO: Tag[ route_check ] --START--
[ 2017-04-10T13:27:14+08:00 ] /web/index.php/User | INFO: Run CheckRoute Behavior [ RunTime:0.000640s ]
[ 2017-04-10T13:27:14+08:00 ] /web/index.php/User | INFO: Tag[ route_check ] --END-- [ RunTime:0.000708s ]
[ 2017-04-10T13:27:14+08:00 ] /web/index.php/User | INFO: Tag[ app_begin ] --START--
[ 2017-04-10T13:27:14+08:00 ] /web/index.php/User | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000408s ]
[ 2017-04-10T13:27:14+08:00 ] /web/index.php/User | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000445s ]
[ 2017-04-10T13:27:14+08:00 ] /web/index.php/User | NOTIC: [2] session_start() [<a href='function.session-start'>function.session-start</a>]: Cannot send session cookie - headers already sent by (output started at F:\nginx-1.8.1\html\web\Common\common.php:1) functions.php 第 411 行.
[ 2017-04-10T13:27:14+08:00 ] /web/index.php/User | NOTIC: [2] session_start() [<a href='function.session-start'>function.session-start</a>]: Cannot send session cache limiter - headers already sent (output started at F:\nginx-1.8.1\html\web\Common\common.php:1) functions.php 第 411 行.
[ 2017-04-10T13:27:14+08:00 ] /web/index.php/User | NOTIC: [8] A session had already been started - ignoring session_start() UserAction.class.php 第 6 行.
[ 2017-04-10T13:27:14+08:00 ] /web/index.php/User | NOTIC: [8] Undefined index:  zs78_admin2 UserAction.class.php 第 8 行.
[ 2017-04-10T13:27:14+08:00 ] /web/index.php/User | INFO: Tag[ route_check ] --START--
[ 2017-04-10T13:27:14+08:00 ] /web/index.php/User | INFO: Run CheckRoute Behavior [ RunTime:0.000620s ]
[ 2017-04-10T13:27:14+08:00 ] /web/index.php/User | INFO: Tag[ route_check ] --END-- [ RunTime:0.000690s ]
[ 2017-04-10T13:27:14+08:00 ] /web/index.php/User | INFO: Tag[ app_begin ] --START--
[ 2017-04-10T13:27:14+08:00 ] /web/index.php/User | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000405s ]
[ 2017-04-10T13:27:14+08:00 ] /web/index.php/User | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000442s ]
[ 2017-04-10T13:27:14+08:00 ] /web/index.php/User | NOTIC: [2] session_start() [<a href='function.session-start'>function.session-start</a>]: Cannot send session cookie - headers already sent by (output started at F:\nginx-1.8.1\html\web\Common\common.php:1) functions.php 第 411 行.
